incident,severity,kind,type,category,indicator_defanged,indicator_clean,context,seen,sources
CVE-2026-65400 — macOS Screen Sharing pre-auth RCE deploys Monero miners,CRITICAL,CVE · EXPLOITED · macOS RCE,cve,host,CVE-2026-65400,CVE-2026-65400,macOS Screen Sharing SRP pre-auth RCE — full remote control,AUG 14,https://www.bleepingcomputer.com/news/security/hackers-exploit-macos-screen-sharing-flaw-to-deploy-monero-miner/ https://www.huntress.com/blog/macos-screen-sharing-rce-patched
CVE-2026-65400 — macOS Screen Sharing pre-auth RCE deploys Monero miners,CRITICAL,CVE · EXPLOITED · macOS RCE,patch,host,macOS Tahoe 26.6.1 / Sequoia 15.7.9 / Sonoma 14.8.9,macOS Tahoe 26.6.1 / Sequoia 15.7.9 / Sonoma 14.8.9,"Apple emergency patch, Aug 6",AUG 14,https://www.bleepingcomputer.com/news/security/hackers-exploit-macos-screen-sharing-flaw-to-deploy-monero-miner/ https://www.huntress.com/blog/macos-screen-sharing-rce-patched
CVE-2026-65400 — macOS Screen Sharing pre-auth RCE deploys Monero miners,CRITICAL,CVE · EXPLOITED · macOS RCE,detection,host,Unexplained Monero-mining process following Screen Sharing exposure on port 5900,Unexplained Monero-mining process following Screen Sharing exposure on port 5900,Post-exploitation payload observed in every confirmed case,AUG 14,https://www.bleepingcomputer.com/news/security/hackers-exploit-macos-screen-sharing-flaw-to-deploy-monero-miner/ https://www.huntress.com/blog/macos-screen-sharing-rce-patched
"CVE-2026-59310 — VMware vCenter Syslog Server directory traversal, active reverse-SSH campaign",CRITICAL,CVE · EXPLOITED · SUPPLY-CHAIN-SCALE,cve,host,CVE-2026-59310,CVE-2026-59310,vCenter Syslog Server directory traversal — unauth RCE,AUG 12,https://thehackernews.com/2026/08/attackers-exploit-vmware-vcenter.html https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25765
"CVE-2026-59310 — VMware vCenter Syslog Server directory traversal, active reverse-SSH campaign",CRITICAL,CVE · EXPLOITED · SUPPLY-CHAIN-SCALE,tool,host,reverse_ssh (Go-based open-source reverse shell),reverse_ssh (Go-based open-source reverse shell),Deployed post-exploitation for persistent access,AUG 12,https://thehackernews.com/2026/08/attackers-exploit-vmware-vcenter.html https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25765
"CVE-2026-59310 — VMware vCenter Syslog Server directory traversal, active reverse-SSH campaign",CRITICAL,CVE · EXPLOITED · SUPPLY-CHAIN-SCALE,detection,host,Malicious cron job added to vCenter appliance,Malicious cron job added to vCenter appliance,Persistence mechanism for reverse_ssh,AUG 12,https://thehackernews.com/2026/08/attackers-exploit-vmware-vcenter.html https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25765
"CVE-2026-59310 — VMware vCenter Syslog Server directory traversal, active reverse-SSH campaign",CRITICAL,CVE · EXPLOITED · SUPPLY-CHAIN-SCALE,patch,host,vCenter 9.1.0.0300 / 9.0.2.0100 / 8.0 U3k / 8.0 U2f,vCenter 9.1.0.0300 / 9.0.2.0100 / 8.0 U3k / 8.0 U2f,Fixed builds per Broadcom VMSA-2026-0006,AUG 12,https://thehackernews.com/2026/08/attackers-exploit-vmware-vcenter.html https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25765
"CVE-2026-55040 — SharePoint forged-JWT auth bypass, exploited within 48 hours of PoC",CRITICAL,CVE · EXPLOITED · AUTH BYPASS,cve,host,CVE-2026-55040,CVE-2026-55040,SharePoint JWT validation bypass — unauth user/admin impersonation,AUG 12,https://thehackernews.com/2026/08/attackers-exploit-sharepoint.html https://www.securityweek.com/sharepoint-vulnerability-exploited-shortly-after-poc-release/
"CVE-2026-55040 — SharePoint forged-JWT auth bypass, exploited within 48 hours of PoC",CRITICAL,CVE · EXPLOITED · AUTH BYPASS,cve,host,CVE-2026-63520,CVE-2026-63520,Chained SharePoint flaw — turns impersonation into unauth RCE,AUG 12,https://thehackernews.com/2026/08/attackers-exploit-sharepoint.html https://www.securityweek.com/sharepoint-vulnerability-exploited-shortly-after-poc-release/
"CVE-2026-55040 — SharePoint forged-JWT auth bypass, exploited within 48 hours of PoC",CRITICAL,CVE · EXPLOITED · AUTH BYPASS,detection,net,JWT with header alg:none and unverifiable non-empty signature,JWT with header alg:none and unverifiable non-empty signature,Forged-token signature accepted by SharePoint STS,AUG 12,https://thehackernews.com/2026/08/attackers-exploit-sharepoint.html https://www.securityweek.com/sharepoint-vulnerability-exploited-shortly-after-poc-release/
